"Publisher","Publisher_OAPC","Country","Country_OAPC","Organization","Annual publications","Start date","End date","ID","URL"
"European Respiratory Society","NA","Albania, Armenia, Azerbaijan, Belarus, Botswana, Congo, Ethiopia, Fiji, Georgia, Ghana, Ivory Coast, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, North Macedonia, Malawi, Maldives, Moldova, Myanmar, Namibia, Nepal, Palestine, Senegal, Serbia, Sudan, Tanzania, Uganda, Ukraine, Uzbekistan, Zambia, Zimbabwe","NA","EIFL","1","01/01/2021","31/12/2023","ers2021eifl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ers2021eifl/"
"CSIRO","NA","Australia","NA","CAUL","625","01/01/2021","31/12/2021","csiro2021caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/csiro2021caul/"
"Elsevier","Elsevier BV","Australia","NA","CSIRO","200","01/01/2021","31/12/2023","els2021csiro","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2021csiro/"
"Future Science Group","NA","Australia","NA","CAUL","50","01/01/2021","31/12/2022","fsg2021caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2021caul/"
"Karger","S. Karger AG","Australia","NA","CAUL","30","01/01/2021","31/12/2021","kar2021caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2021caul/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Australia","NA","CSIRO","10","01/01/2021","31/12/2022","rsc2021csiro","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2021csiro/"
"The Geological Society of London","NA","Australia","NA","CAUL","27","01/01/2021","31/12/2021","gsl2021caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/gsl2021caul/"
"The Royal Society","The Royal Society","Australia","NA","CAUL","255","01/01/2021","31/12/2021","trs2021caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021caul"
"AIP Publishing","AIP Publishing","Austria","AUT","TU Wien","20","01/01/2021","31/12/2023","aip2021tuwien","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2021tuwien/"
"Brill","Brill","Austria","AUT","University of Vienna","25","01/01/2021","31/12/2023","brill2021univie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2021univie/"
"Company of Biologists","The Company of Biologists","Austria","AUT","Institute of Science and Technology Austria","1","01/01/2021","31/12/2021","compbio2021ist","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021ist/"
"Company of Biologists","The Company of Biologists","Austria","AUT","University of Vienna","6","01/01/2021","31/12/2023","compbio2021univie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021univie/"
"Elsevier","Elsevier BV","Austria","AUT","KEMOE/FWF","1800","01/01/2021","31/12/2023","els2021kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2021kemoe/"
"Oxford University Press","Oxford University Press (OUP)","Austria","AUT","University of Vienna","35","01/01/2021","31/12/2023","oxf2021univie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2021univie/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Austria","AUT","KEMOE/FWF","92","01/01/2021","31/12/2024","rsc2021kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2021kemoe/"
"The Royal Society","The Royal Society","Austria","AUT","Institute of Science and Technology Austria","1","01/01/2021","31/12/2023","trs2021ist","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021ist/"
"The Royal Society","The Royal Society","Austria","AUT","University of Salzburg","1","01/01/2021","31/12/2021","trs2021sbg","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021sbg/"
"The Royal Society","The Royal Society","Austria","AUT","University of Vienna","10","01/01/2021","31/12/2021","trs2021univie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021univie/"
"Thieme","NA","Austria","AUT","KEMOE","20","01/01/2021","31/12/2023","thie2021kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/thie2021kemoe/"
"Wiley","Wiley-Blackwell","Austria","AUT","KEMOE/FWF","950","01/01/2021","31/12/2023","wiley2021kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2021kemoe/"
"John Benjamins Publishing","NA","Belgium","BEL","KU Leuven","10","01/01/2021","31/12/2021","jbp2021leuven","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2021leuven/"
"Sage","SAGE Publications","Canada","CAN","Canadian Research Knowledge Network","2200","01/01/2021","31/12/2023","sage2021crkn","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2021crkn/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","China","NA","Consortia of Chinese Academy of Sciences","223","01/01/2021","31/12/2025","acm2021cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2021cas/"
"Cambridge University Press","Cambridge University Press (CUP)","Czech Republic","CZE","CzechELib","20","01/01/2021","31/12/2022","cam2021czelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2021czelib/"
"Emerald","Emerald","Czech Republic","CZE","CzechELib","10","01/01/2021","31/12/2022","eme2021czelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2021czelib/"
"Taylor & Francis","Informa UK Limited","Czech Republic","CZE","CzechELib","150","01/01/2021","31/12/2022","tf2021czelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2021czelib/"
"Elsevier","Elsevier BV","Denmark","NA","Royal Danish Library","3000","01/01/2021","31/12/2024","els2021kb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2021kb/"
"American Chemical Society","American Chemical Society (ACS)","Finland","FIN","FinELib consortium","200","01/01/2021","31/12/2023","acs2021finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2021finelib/"
"Elsevier","Elsevier BV","Finland","FIN","FinELib consortium","1900","01/01/2021","31/12/2023","els2021finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2021finelib/"
"Emerald","Emerald","Finland","FIN","FinELib consortium","150","01/01/2021","31/12/2023","eme2021finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2021finelib/"
"IEEE","Institute of Electrical & Electronics Engineers (IEEE)","Finland","FIN","FinELib consortium","250","01/01/2021","31/12/2023","ieee2021finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2021finelib/"
"IOP Publishing","IOP Publishing","Finland","FIN","VTT Technical Research Centre of Finland","30","01/01/2021","31/12/2023","iop2021vtt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2021vtt/"
"Oxford University Press","Oxford University Press (OUP)","Finland","FIN","FinELib consortium","250","01/01/2021","31/12/2023","oxf2021finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2021finelib/"
"Springer Nature","Springer Nature","Finland","FIN","FinELib consortium","930","01/01/2021","31/12/2023","sn2021finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2021finelib/"
"AIP Publishing","AIP Publishing","Germany","DEU","TIB Consortium","550","01/01/2021","31/12/2023","aip2021tib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2021tib/"
"American Physical Society","American Physical Society (APS)","Germany","DEU","Max Planck Digital Library","380","01/01/2021","31/12/2025","aps2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aps2021mpdl/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Germany","DEU","hebis-Konsortium (German Academic Consortium)","1000","01/01/2021","31/12/2028","acm2021hebis","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2021hebis/"
"BMJ Publishing","BMJ","Germany","DEU","German Academic Consortium, 46 participants, administered by Bayerische Staatsbibliothek","80","01/01/2021","31/12/2021","bmj2021gac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2021gac/"
"Company of Biologists","The Company of Biologists","Germany","DEU","Friedrich-Alexander Universität Erlangen-Nürnberg","3","01/01/2021","31/12/2023","compbio2021fau","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021fau/"
"Company of Biologists","The Company of Biologists","Germany","DEU","Max Planck Digital Library","25","01/01/2021","31/12/2023","compbio2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021mpdl/"
"Company of Biologists","The Company of Biologists","Germany","DEU","University of Tübingen","4","01/01/2021","31/12/2024","compbio2021tuebingen","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021tuebingen/"
"EDP Sciences","EDP Sciences","Germany","DEU","Max Planck Digital Library","150","01/01/2021","31/12/2023","edp2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/edp2021mpdl/"
"Hogrefe","NA","Germany","DEU","German Academic Consortium, 116 participating institutions, administered by SUB Göttingen","250","01/01/2021","31/12/2023","hogrefe2021gac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/hogrefe2021gac/"
"IGI Global","NA","Germany","DEU","ZBW Leibniz Information Centre for Economics","10","01/01/2021","31/12/2021","igi2021zbw","https://esac-initiative.org/about/transformative-agreements/agreement-registry/igi2021zbw/"
"IOP Publishing","IOP Publishing","Germany","DEU","Max Planck Digital Library","140","01/01/2021","31/12/2021","iop2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2021mpdl/"
"Karger","S. Karger AG","Germany","DEU","German Academic Consortium, 20 participants, administered by Bayerische Staatsbibliothek","120","01/01/2021","31/12/2023","kar2021gac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2021gac/"
"Mary Ann Liebert, Inc.","NA","Germany","DEU","Max Planck Digital Library","5","01/01/2021","31/12/2024","mal2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/mal2021mpdl/"
"Oxford University Press","Oxford University Press (OUP)","Germany","DEU","Humboldt-Universität zu Berlin","17","01/01/2021","31/12/2023","oxf2021hub","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2021hub/"
"Oxford University Press","Oxford University Press (OUP)","Germany","DEU","Max Planck Digital Library","100","01/01/2021","31/12/2021","oxf2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2021mpdl/"
"Portland Press","Portland Press Ltd.","Germany","DEU","Max Planck Digital Library","5","01/01/2021","31/12/2023","portpress2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2021mpdl/"
"Rockefeller University Press","Rockefeller University Press","Germany","DEU","Max Planck Digital Library","8","01/01/2021","31/12/2022","rup2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2021mpdl/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Germany","DEU","Max Planck Digital Library","130","01/01/2021","31/12/2022","rsc2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2021mpdl/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Germany","DEU","TIB Consortium","335","01/01/2021","31/12/2023","rsc2021tib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2021tib/"
"Sage","SAGE Publications","Germany","DEU","German Academic Consortium, 133 participants, administered by Bayerische Staatsbibliothek","800","01/01/2021","31/12/2023","sage2021gac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2021gac/"
"SPIE","NA","Germany","DEU","Fraunhofer-Gesellschaft e. V.","5","01/01/2021","31/12/2023","spie2021fg","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2021fg/"
"SPIE","NA","Germany","DEU","Max Planck Digital Library","5","01/01/2021","31/12/2023","spie2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2021mpdl/"
"SPIE","NA","Germany","DEU","TIB Consortium","20","01/01/2021","31/12/2023","spie2021tib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2021tib/"
"Springer Nature","Springer Nature","Germany","DEU","German academic consortium, administered by Max Planck Digital Library","450","01/01/2021","31/12/2024","sn2021gac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2021gac/"
"Taylor & Francis","Informa UK Limited","Germany","DEU","ZBW Leibniz Information Centre for Economics","84","01/01/2021","31/12/2021","tf2021zbw","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2021zbw/"
"The Electrochemical Society","The Electrochemical Society","Germany","DEU","TIB Consortium","65","01/01/2021","31/12/2021","ecs2021tib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ecs2021tib/"
"The Royal Society","The Royal Society","Germany","DEU","Max Planck Digital Library","45","01/01/2021","31/12/2023","trs2021mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021mpdl/"
"The Royal Society","The Royal Society","Germany","DEU","SUB Göttingen","8","01/01/2021","31/12/2021","trs2021sub","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021sub/"
"Thieme","NA","Germany","DEU","ZB MED Consortium","50","01/01/2021","31/12/2025","thie2021ger","https://esac-initiative.org/about/transformative-agreements/agreement-registry/thie2021ger/"
"Walter de Gruyter","Walter de Gruyter GmbH","Germany","DEU","ZBW Leibniz Information Centre for Economics","25","01/01/2021","31/12/2022","degruy2021zbw","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2021zbw/"
"Walter de Gruyter","Walter de Gruyter GmbH","Greece","NA","HEAL-Link (Hellenic Academic Libraries Link)","30","01/01/2021","31/12/2023","degruy2021heal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2021heal/"
"Cambridge University Press","Cambridge University Press (CUP)","Hong Kong","NA","JULAC","92","01/01/2021","31/12/2023","cam2021julac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2021julac/"
"Karger","S. Karger AG","Hong Kong","NA","JULAC","9","01/01/2021","31/12/2023","kar2021julac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2021julac/"
"Akadémiai Kiadó","Akademiai Kiado Zrt.","Hungary","HUN","EISZ","727","01/01/2021","31/12/2023","kia2021eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kia2021eisz/"
"Cambridge University Press","Cambridge University Press (CUP)","Hungary","HUN","EISZ","28","01/01/2021","31/12/2021","cam2021eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2021eisz/"
"IEEE","Institute of Electrical & Electronics Engineers (IEEE)","Hungary","HUN","EISZ","4","01/01/2021","31/12/2021","ieee2021eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2021eisz/"
"IOP Publishing","IOP Publishing","Hungary","HUN","EISZ","29","01/01/2021","31/12/2021","iop2021eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2021eisz/"
"Oxford University Press","Oxford University Press (OUP)","Hungary","HUN","EISZ","29","01/01/2021","31/12/2021","oxf2021eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2021eisz/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Hungary","HUN","EISZ","33","01/01/2021","31/12/2021","rsc2021eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2021eisz/"
"Walter de Gruyter","Walter de Gruyter GmbH","Hungary","HUN","EISZ","15","01/01/2021","31/12/2021","degruy2021eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2021eisz/"
"Wolters Kluwer Health","Ovid Technologies (Wolters Kluwer Health)","Hungary","HUN","EISZ","4","01/01/2021","31/12/2021","lww2021eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/lww2021eisz/"
"Karger","S. Karger AG","Iceland","NA","Iceland Consortium","5","01/01/2021","31/12/2023","kar2021ic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2021ic/"
"American Chemical Society","American Chemical Society (ACS)","Ireland","IRL","IReL","111","01/01/2021","31/12/2025","acs2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2021ie/"
"BMJ Publishing","BMJ","Ireland","IRL","IReL","32","01/01/2021","31/12/2023","bmj2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2021ie/"
"Cambridge University Press","Cambridge University Press (CUP)","Ireland","IRL","IReL","133","01/01/2021","31/12/2025","cam2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2021ie/"
"Cold Spring Harbor Laboratory Press","Cold Spring Harbor Laboratory Press","Ireland","IRL","IReL","2","01/01/2021","31/12/2021","cshl2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cshl2021ie/"
"Emerald","Emerald","Ireland","IRL","IReL","65","01/01/2021","31/12/2023","eme2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2021ie/"
"IOP Publishing","IOP Publishing","Ireland","IRL","IReL","38","01/01/2021","31/12/2024","iop2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2021ie/"
"Microbiology Society","Microbiology Society","Ireland","IRL","IReL","7","01/01/2021","31/12/2023","microbio2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2021ie/"
"Oxford University Press","Oxford University Press (OUP)","Ireland","IRL","IReL","113","01/01/2021","31/12/2023","oxf2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2021ie/"
"Royal Irish Academy","NA","Ireland","IRL","IReL","23","01/01/2021","31/12/2023","ria2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ria2021ie/"
"Sage","SAGE Publications","Ireland","IRL","IReL","159","01/01/2021","31/12/2023","sage2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2021ie/"
"Springer Nature","Springer Nature","Ireland","IRL","IReL","360","01/01/2021","31/12/2024","sn2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2021ie/"
"Taylor & Francis","Informa UK Limited","Ireland","IRL","IReL","426","01/01/2021","31/12/2023","tf2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2021ie/"
"The Electrochemical Society","The Electrochemical Society","Ireland","IRL","IReL","4","01/01/2021","31/12/2021","ecs2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ecs2021ie/"
"The Royal Society","The Royal Society","Ireland","IRL","IReL","16","01/01/2021","31/12/2023","trs2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021ie/"
"Wiley","Wiley-Blackwell","Ireland","IRL","IReL","535","01/01/2021","31/12/2024","wiley2021ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2021ie/"
"IOP Publishing","IOP Publishing","Israel","NA","MALMAD","35","01/01/2021","31/12/2023","iop2021malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2021malmad/"
"Portland Press","Portland Press Ltd.","Israel","NA","MALMAD","3","01/01/2021","31/12/2022","portpress2021malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2021malmad/"
"The Royal Society","The Royal Society","Israel","NA","MALMAD","15","01/01/2021","31/12/2023","trs2021malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021malmad/"
"AIP Publishing","AIP Publishing","Italy","ITA","Consiglio Nazionale delle Ricerche","28","01/01/2021","31/12/2021","aip2021cnr","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2021cnr/"
"American Chemical Society","American Chemical Society (ACS)","Italy","ITA","Consiglio Nazionale delle Ricerche","46","01/01/2021","31/12/2023","acs2021cnr","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2021cnr/"
"Wolters Kluwer Health","Ovid Technologies (Wolters Kluwer Health)","Italy","ITA","CRUI-CARE","340","01/01/2021","31/12/2024","lww2021crui","https://esac-initiative.org/about/transformative-agreements/agreement-registry/lww2021crui/"
"Cambridge University Press","Cambridge University Press (CUP)","Latvia","NA","Culture Information Systems Centre","3","01/01/2021","31/12/2021","cam2021kis","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2021kis/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Luxembourg","NA","Consortium Luxembourg","30","01/01/2021","31/12/2023","acm2021lu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2021lu/"
"Taylor & Francis","Informa UK Limited","Luxembourg","NA","Consortium Luxembourg","29","01/01/2021","31/12/2023","tf2021lu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2021lu/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Netherlands","NLD","Radboud University","9","01/01/2021","31/12/2023","acm2021ru","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2021ru/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Netherlands","NLD","Tilburg University","5","01/01/2021","31/12/2024","acm2021tilburg","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2021tilburg/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Netherlands","NLD","University of Twente","40","01/01/2021","31/12/2025","acm2021utwente","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2021utwente/"
"Cambridge University Press","Cambridge University Press (CUP)","Netherlands","NLD","VSNU-UKB","400","01/01/2021","31/12/2023","cam2021vsnu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2021vsnu/"
"Company of Biologists","The Company of Biologists","Netherlands","NLD","Radboud University","2","01/01/2021","31/12/2023","compbio2021ru","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021ru/"
"Company of Biologists","The Company of Biologists","Netherlands","NLD","Universiteit Leiden","4","01/01/2021","31/12/2023","compbio2021leiden","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021leiden/"
"Company of Biologists","The Company of Biologists","Netherlands","NLD","University of Groningen","1","01/01/2021","31/12/2023","compbio2021rug","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021rug/"
"Company of Biologists","The Company of Biologists","Netherlands","NLD","Utrecht University","3","01/01/2021","31/12/2023","compbio2021uu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021uu/"
"Emerald","Emerald","Netherlands","NLD","VSNU-UKB","117","01/01/2021","31/12/2023","eme2021vsnu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2021vsnu/"
"IOP Publishing","IOP Publishing","Netherlands","NLD","Eindhoven University of Technology","23","01/01/2021","31/12/2023","iop2021tue","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2021tue/"
"IOP Publishing","IOP Publishing","Netherlands","NLD","Radboud University","10","01/01/2021","31/12/2023","iop2021ru","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2021ru/"
"John Benjamins Publishing","NA","Netherlands","NLD","University of Amsterdam","10","01/01/2021","31/12/2021","jbp2021uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2021uva/"
"John Benjamins Publishing","NA","Netherlands","NLD","Utrecht University","12","01/01/2021","31/12/2021","jbp2021uu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2021uu/"
"Microbiology Society","Microbiology Society","Netherlands","NLD","TU Delft","1","01/01/2021","31/12/2025","microbio2021delft","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2021delft/"
"Oxford University Press","Oxford University Press (OUP)","Netherlands","NLD","VSNU-UKB","800","01/01/2021","31/12/2023","oxf2021vsnu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2021vsnu/"
"Portland Press","Portland Press Ltd.","Netherlands","NLD","University of Groningen","6","01/01/2021","31/12/2021","portpress2021rug","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2021rug/"
"Taylor & Francis","Informa UK Limited","Netherlands","NLD","VSNU-UKB","2350","01/01/2021","31/12/2023","tf2021vsnu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2021vsnu/"
"The Royal Society","The Royal Society","Netherlands","NLD","Eindhoven University of Technology","2","01/01/2021","31/12/2021","trs2021tue","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021tue/"
"Wiley","Wiley-Blackwell","Netherlands","NLD","VSNU-UKB","3550","01/01/2021","31/12/2023","wiley2021vsnu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2021vsnu/"
"Wolters Kluwer Health","Ovid Technologies (Wolters Kluwer Health)","Netherlands","NLD","VSNU-UKB","370","01/01/2021","31/12/2023","lww2021vsnu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/lww2021vsnu/"
"Company of Biologists","The Company of Biologists","Norway","NOR","UiT The Arctic University of Norway","2","01/01/2021","31/12/2022","compbio2021uit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021uit/"
"Company of Biologists","The Company of Biologists","Norway","NOR","University of Oslo (UiO) incl. Oslo University Hospital","4","01/01/2021","31/12/2023","compbio2021uio","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021uio/"
"Microbiology Society","Microbiology Society","Norway","NOR","Norwegian University of Science and Technology","2","01/01/2021","31/12/2022","microbio2021ntnu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2021ntnu/"
"Microbiology Society","Microbiology Society","Norway","NOR","UiT The Arctic University of Norway","2","01/01/2021","31/12/2022","microbio2021uit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2021uit/"
"Microbiology Society","Microbiology Society","Norway","NOR","University of Oslo (UiO) incl. Oslo University Hospital","2","01/01/2021","31/12/2022","microbio2021uio","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2021uio/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Norway","NOR","Unit","55","01/01/2021","31/12/2022","rsc2021unit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2021unit/"
"Walter de Gruyter","Walter de Gruyter GmbH","Norway","NOR","Unit","50","01/01/2021","31/12/2023","degruy2021unit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2021unit/"
"Cambridge University Press","Cambridge University Press (CUP)","Saudi Arabia","NA","KAUST","9","01/01/2021","31/12/2023","cam2021kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2021kaust/"
"Cold Spring Harbor Laboratory Press","Cold Spring Harbor Laboratory Press","Saudi Arabia","NA","KAUST","1","01/01/2021","31/12/2021","cshl2021kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cshl2021kaust/"
"Oxford University Press","Oxford University Press (OUP)","Saudi Arabia","NA","KAUST","14","01/01/2021","31/12/2023","oxf2021kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2021kaust/"
"SPIE","NA","Saudi Arabia","NA","KAUST","1","01/01/2021","31/12/2024","spie2021kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2021kaust/"
"The Royal Society","The Royal Society","Saudi Arabia","NA","KAUST","4","01/01/2021","31/12/2021","trs2021kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021kaust/"
"Cambridge University Press","Cambridge University Press (CUP)","Serbia","NA","KoBSON","20","01/01/2021","31/12/2021","cam2021kobson","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2021kobson/"
"American Chemical Society","American Chemical Society (ACS)","Slovenia","NA","Slovenian Consortium CTK","60","01/01/2021","31/12/2021","acs2021slov","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2021slov/"
"Emerald","Emerald","Slovenia","NA","COSEC Consortium","25","01/01/2021","31/12/2021","eme2021cosec","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2021cosec/"
"Oxford University Press","Oxford University Press (OUP)","Slovenia","NA","COSEC Consortium / University of Ljubljana","15","01/01/2021","31/12/2023","oxf2021cosec","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2021cosec/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Slovenia","NA","University of Ljubljana","10","01/01/2021","31/12/2021","rsc2021slov","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2021slov/"
"Sage","SAGE Publications","Slovenia","NA","COSEC Consortium","40","01/01/2021","31/12/2021","sage2021cosec","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2021cosec/"
